hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Yediyur Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"7Th Main, 4Th Cross, Kanakpura Main Rd, Bangalore North",Karnataka,Bengaluru Rural,12.8905223,77.6033668
Sapthagiri Hospital,Private,Multispecialty / General,,0.0,0.0,"#15, Chikkasandra, Hesaraghatta Main Road",Karnataka,Bengaluru Rural,13.0730767,77.5030755
Ashraya Medinova Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"Magadi Main Road, Sunkadakatte",Karnataka,Bengaluru Rural,12.989393,77.506555
Jai Maruthi Hospital,Private,Multispecialty / General,,0.0,0.0,"208, 210, Hegganahalli Main Road, Near Peenya 2Nd Stage, Hegganahalli",Karnataka,Bengaluru Rural,13.0077333,77.5055679
Mamta Hospital,Private,Multispecialty / General,,0.0,0.0,"12, D Rajgopal Road, Next To Food World, Nagashettyhalli, Sanjaynagar",Karnataka,Bengaluru Rural,13.0364641,77.5767631
Vijaya Nethralaya,Private,Eye / Ophthalmology,,0.0,0.0,"No 5, 20Th Cross, Malagala Underpass Ring Road, 2Nd Stage Nagarbhavi",Karnataka,Bengaluru Rural,12.9745975,77.5129877
Manasa Hospital,Private,Multispecialty / General,,0.0,0.0,"B.H. Road, Gowribidanur",Karnataka,Bengaluru Rural,13.680328,77.6690529
S.H.Medical Center,Private,Multispecialty / General,,0.0,0.0,"B.H. Road, Gowribidanur",Karnataka,Bengaluru Rural,13.680328,77.6690529
Doddaballapur Govt Hospital,Public,Multispecialty / General,,0.0,0.0,Doddaballapur Govt Hospital Bangalore Rural,Karnataka,Bengaluru Rural,13.193522,77.501753
Sri Shirdi Sai Hospital,Private,Multispecialty / General,,0.0,0.0,"Surabhi Complex, Opposite To Canara Bank, B.B.Road, Devanahalli Town",Karnataka,Bengaluru Rural,14.6168636,74.657792
Ashwini Hospital,Private,Multispecialty / General,,0.0,0.0,T.G. Extn. Hoskote,Karnataka,Bengaluru Rural,13.0730023,77.7966975
Hoskote Mission and Medical Centre,Trust / Charitable,Multispecialty / General,,0.0,0.0,"J.G.Extn, Haskote",Karnataka,Bengaluru Rural,13.2846993,77.6077865
Kempanna Nursing Home,Private,Multispecialty / General,,0.0,0.0,"K.R. Road, Hoskote",Karnataka,Bengaluru Rural,13.0730023,77.7966975
