hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
The Cradle,Private,Multispecialty / General,,0.0,0.0,"#1533,9Th Main 3Rd Block, Jayanagar",Karnataka,Bengaluru Urban,12.933863,77.584263
Vasan Eye Care Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"No 28&29, 7Th Main Diagnal Road, Jayanagar 4Th Blook",Karnataka,Bengaluru Urban,12.9290883,77.5819886
Venkatagiri Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.24 1St Block East,Byrasandra Main Road, Nr.Madhavan Park",Karnataka,Bengaluru Urban,12.9346537,77.5875584
Venkateshwara Eye Clinic,Private,Eye / Ophthalmology,,0.0,0.0,"No.158, 6Th A Cross, Jayanagar, 1St Block",Karnataka,Bengaluru Urban,12.9786865,77.558801
Siddartha Hospital and Diagostics,Private,Multispecialty / General,,0.0,0.0,"15-Pipeline Main Road, Mes Road, Jalahalli",Karnataka,Bengaluru Urban,13.0459145,77.5221593
Ashwini Nursing Home,Private,Multispecialty / General,,0.0,0.0,"#382, Narayanappa Buildings,Below Uco Bank, Ramamurthy Nagar",Karnataka,Bengaluru Urban,13.0184435,77.6781215
Sri Balaji Polyclinic and Diagnostic Centr,Private,Multispecialty / General,,0.0,0.0,"Shanthi Layout Main Road, Ramamurthy Nagar",Karnataka,Bengaluru Urban,13.017604,77.6836792
Sri Sai Eye Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"#311, 4B Cross, R.M. Nagar Main Road, Kasthuri Nagar",Karnataka,Bengaluru Urban,13.0153803,77.677642
Vijai Hospital - Bangalore,Private,Multispecialty / General,,0.0,0.0,"1St Main Road 2Nd Cross Pai Lay Out, Old Madras Road",Karnataka,Bengaluru Urban,12.9709184,77.6318371
Hal Hospital,Private,Multispecialty / General,,0.0,0.0,"Vimanpura Post,  Complex,",Karnataka,Bengaluru Urban,12.9643314,77.6716809
Manipal Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 98, Rusthom Bhag, Airport Road",Karnataka,Bengaluru Urban,43.9932901,-107.9492606
Nova Medical Centres Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"222/14, 5Th Main, Bellary Road, Bellary Road",Karnataka,Bengaluru Urban,13.0365214,77.591099
Shree Anugraha Hospital,Private,Multispecialty / General,,0.0,0.0,"Annasandra Palya Main Road, Hal Post",Karnataka,Bengaluru Urban,12.9621596,77.6723254
Amar Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.9, 6Th Cross, 5Th Main, Chamarapet",Karnataka,Bengaluru Urban,12.9561171,77.5558117
Brindavan Nursing Home,Private,Multispecialty / General,,0.0,0.0,No 17 4Th Mein Road Chamarajpet,Karnataka,Bengaluru Urban,12.9578825,77.5690132
Jubilee Nursing Home,Private,Multispecialty / General,,0.0,0.0,"248,4 Th Main Road Chamarajpet",Karnataka,Bengaluru Urban,12.9581124,77.5712995
Nethrakashi Eye Hospital And Micro Surgical Centre,Private,Eye / Ophthalmology,,0.0,0.0,"No 122, Ii Main Road 9Th Cross Chamarape",Karnataka,Bengaluru Urban,12.9323546,77.5642029
Retina Institute Of Karnataka,Private,Multispecialty / General,,0.0,0.0,"No. 122, 5Th Main Road,Chamarajapet",Karnataka,Bengaluru Urban,12.9567051,77.5626974
Shree Nandi Hospital,Private,Multispecialty / General,,0.0,0.0,"7, 2Nd Main Road, Chamarajpet",Karnataka,Bengaluru Urban,12.9594417,77.5678213
Sirasi Road Meternity Home,Private,Multispecialty / General,,0.0,0.0,"Mysore Rd Circle,Chamarajpet",Karnataka,Bengaluru Urban,12.952309,77.5779576
St. Marys Hospital,Private,Multispecialty / General,,0.0,0.0,Chamarajapet,Karnataka,Bengaluru Urban,-33.7659967,150.7741332
The Venlakh Hospital,Private,Multispecialty / General,,0.0,0.0,"123, 5Th Main Road, Chamarajpet",Karnataka,Bengaluru Urban,12.9571328,77.5643107
B.S. Narayan Memorial Hospital,Private,Multispecialty / General,,0.0,0.0,"618, Sri Mallikarjuna Swamy Temple St, N.R. Colony",Karnataka,Bengaluru Urban,12.9701331,77.5785466
Balaji Hospital and Gastroenterology Center,Private,Multispecialty / General,,0.0,0.0,"#118, 5 Th Main , 7Th Cross, N R Colony , Bull Temple Road",Karnataka,Bengaluru Urban,12.9360846,77.5668069
Kalasa Maternity Home,Private,Women & Child,,0.0,0.0,"127/1, Bull Temple Road",Karnataka,Bengaluru Urban,12.9548697,77.567273
Kamala Nursing Home,Private,Multispecialty / General,,0.0,0.0,"1077, 14Th Main Road, Hanumanthnagar",Karnataka,Bengaluru Urban,12.9420409,77.5579577
Shekhar Hospital,Private,Multispecialty / General,,0.0,0.0,"No.81,Bulltemple Road,Near Ramakrishna Ashram",Karnataka,Bengaluru Urban,12.945843,77.5674499
Vishwabharathi Hospital Pvt. Ltd,Private,Multispecialty / General,,0.0,0.0,"No.10/4 & 10/5, 3Rd Main Road, Hanumanthanagar",Karnataka,Bengaluru Urban,12.9425877,77.564264
Apollo Rm Hospital,Private,Multispecialty / General,,0.0,0.0,"No.65, 1St Main Road, Seshadripuram",Karnataka,Bengaluru Urban,12.9785849,80.2320987
Fortis Hospital,Private,Multispecialty / General,,0.0,0.0,"No 65, 1St Main Road, Sheshadripuram",Karnataka,Bengaluru Urban,12.9920891,77.5794397
Jayashree Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No 4, 4Th Cross Kumara Park West",Karnataka,Bengaluru Urban,12.991069,77.5777401
Lakshmi Nursing Home,Private,Multispecialty / General,,0.0,0.0,No. 88 2Nd Main Road Seshadripuram,Karnataka,Bengaluru Urban,12.9982021,77.580725
Sri Maruthi Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.67,Link Road,Sheshadripuram",Karnataka,Bengaluru Urban,12.9961984,77.5734176
Nayak Hospital,Private,Multispecialty / General,,0.0,0.0,"No 3367,5Th Cross, Gayathri Nagar",Karnataka,Bengaluru Urban,12.9995007,77.5599848
"Nethradhama Superspeciality Eye Hospital - Rajajinagar, Bangalore",Private,Eye / Ophthalmology,,0.0,0.0,"No.607/77, 1St Main, Dr.Rajkumar Road, Rajajinagar 2Nd Block",Karnataka,Bengaluru Urban,13.0103758,77.5590452
Supriya Hospital,Private,Multispecialty / General,,0.0,0.0,15/1 Iyappaswamy Templestraight Road,Karnataka,Bengaluru Urban,17.4738037,78.5641765
Acharya Tulsi Jain Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 22/21, 6Th Cross, K N Extn, Yeshwanth Pur",Karnataka,Bengaluru Urban,13.026508,77.5581871
Kala Hospital,Private,Multispecialty / General,,0.0,0.0,"1105, 5Th Cross,Kn Extension, Yeshwanthpur",Karnataka,Bengaluru Urban,13.0222723,77.5589993
Mysore Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 35/6, Industrial Suburb, Goragunte Palya, Yashwantpur",Karnataka,Bengaluru Urban,13.01781,77.544225
Yeshvanthpura Meternity Home,Public,Multispecialty / General,,0.0,0.0,"Near Yeshvanth Pura, Railway Station",Karnataka,Bengaluru Urban,13.0229714,77.5526778
L.R Hospital,Private,Multispecialty / General,,0.0,0.0,"Magadi Main Road,Banglore",Karnataka,Bengaluru Urban,12.9865934,77.3746046
Magadi Road Meternity Home,Private,Multispecialty / General,,0.0,0.0,"2Nd Cross, Magadi Rd",Karnataka,Bengaluru Urban,-1.8996701,36.301039
Supriya Nursing Home,Private,Multispecialty / General,,0.0,0.0,No 9/A Magadi Main Road,Karnataka,Bengaluru Urban,12.9865934,77.3746046
Bangalore Baptist Hospital,Private,Multispecialty / General,,0.0,0.0,Bellary Road Hebbal,Karnataka,Bengaluru Urban,12.9715987,77.5945627
Columbia Asia,Private,Multispecialty / General,,0.0,0.0,"Kirloskar Business Park, Bellary Road Hebbal",Karnataka,Bengaluru Urban,13.0353782,77.5887614
Dr Agarwal's Eye Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"15, Eagle Street Langford Town Shanti Nagar",Karnataka,Bengaluru Urban,12.956869,77.604755
Hosmat Hospital,Private,Multispecialty / General,,0.0,0.0,45 Magrath Road Off Richmond Road,Karnataka,Bengaluru Urban,12.9687069,77.6145906
Nephrolife Care India Pvt.Ltd,Private,Renal / Uro,,0.0,0.0,"No.2,Setlur Street,Shanthinagar",Karnataka,Bengaluru Urban,12.9582183,77.6044998
Republic Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 5, Langford Gardens, Near Richmond Circle",Karnataka,Bengaluru Urban,12.9663958,77.5945236
Sankarambal Nursing Home,Private,Multispecialty / General,,0.0,0.0,#10 C J D Souza Road Banglore,Karnataka,Bengaluru Urban,12.9668015,77.6000686
Azad Nagar Meternity Home,Private,Multispecialty / General,,0.0,0.0,"Kasturabanagar, Mysore Rd,  South",Karnataka,Bengaluru Urban,12.9013459,77.4679494
Balaji Nursing Home,Private,Multispecialty / General,,0.0,0.0,"1/1,1/2,1/3, New Guddadahalli, Mysore Road",Karnataka,Bengaluru Urban,12.9550299,77.5446814
Soubhagya Medical Centre and Hospital,Private,Multispecialty / General,,0.0,0.0,"No.151/1, Mysore Road",Karnataka,Bengaluru Urban,12.957204,77.5522639
Sri Ram Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No 19, & 56, 6Th Cross, 40 Ft Road, Muneshwara Block",Karnataka,Bengaluru Urban,12.9444846,77.5483282
Venkateshwara Maternity and Surgical Center,Private,Women & Child,,0.0,0.0,"No.5/A, 50 Feet Road, Munieshwara Block, Avalahalli",Karnataka,Bengaluru Urban,12.9426735,77.5470011
Agadi Hospital,Private,Multispecialty / General,,0.0,0.0,"35, Siddiah Road, Wilson Garden",Karnataka,Bengaluru Urban,12.949509,77.598059
"Bangalore Heart Hospital,",Private,Cardiac,,0.0,0.0,"No. 5/1 , Hosur Road",Karnataka,Bengaluru Urban,12.9715987,77.5945627
Bangalore Institute Of Oncology,Private,Oncology,,0.0,0.0,"44-45/2, 2Nd Cross Raja Rammohan Roy Extn Off Lalbagh Double Road",Karnataka,Bengaluru Urban,13.0001603,77.5411082
Bangalore Kidney Stones Hospial,Private,Renal / Uro,,0.0,0.0,"10, Vokkaligara Bhavana, Hudson Circle",Karnataka,Bengaluru Urban,12.9671048,77.5893263
H.C.G Bangalore Institute Of Oncology Speciality C,Private,Oncology,,0.0,0.0,"7/1, H.C.G Tower, P.Kalinga Rao Road, Sampangiramnagar",Karnataka,Bengaluru Urban,12.9628608,77.5917086
Karthik Hospital,Private,Multispecialty / General,,0.0,0.0,"56, 8Th Cross, Wilson Garden",Karnataka,Bengaluru Urban,12.9489069,77.5949809
Manjunath Hospital,Private,Multispecialty / General,,0.0,0.0,"87/2, 8Th Cross,Wilson Garden",Karnataka,Bengaluru Urban,12.948484,77.593987
Raheja Diagnostics,Private,Multispecialty / General,,0.0,0.0,"18/4 , 1St Main Road , Sampangiramanagar",Karnataka,Bengaluru Urban,12.9634179,77.5938311
Shantinagar Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"Nanjappa Circle,Langford Rd, East",Karnataka,Bengaluru Urban,12.9570335,77.5968356
V.S. Specialist Medical Centre and Neurological Research Institute Pvt. Ltd.,Private,Neuro / Spine,,0.0,0.0,"196, 10Th Cross, Wilson Gardens",Karnataka,Bengaluru Urban,12.9472971,77.5965842
Yellamma Dassappa Hospital - Bangalore,Private,Multispecialty / General,,0.0,0.0,"25, Andree Road Shanthi Nagar",Karnataka,Bengaluru Urban,12.9607569,77.594633
Kareem E.N.T and Multispeciality Centre,Private,Multispecialty / General,,0.0,0.0,"No.53, 3Rd Main Road, Opposite To Maruti Layout, B.T.M Layout 1St Stage",Karnataka,Bengaluru Urban,12.962606,77.6812236
Kidwai Memorial Institute Of Oncology,Private,Oncology,,0.0,0.0,Dr. M.H. Marigowda Road,Karnataka,Bengaluru Urban,12.9372107,77.6018794
Prasad Eye Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"#11, Krishna Nagar Industrial Layout, D.R.C.Post,Near Christ College,Hosur",Karnataka,Bengaluru Urban,12.7409127,77.8252923
Spurthy Hospital,Private,Multispecialty / General,,0.0,0.0,"#22, 1St Main, Chocolate Factory Rd, Tavarekere Btm Layout",Karnataka,Bengaluru Urban,12.9233712,77.6123492
Deepti Nursing Home,Private,Multispecialty / General,,0.0,0.0,"449/1, 15Th Main Lakksandra",Karnataka,Bengaluru Urban,12.9237111,77.5874615
Sankalpa Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.44/22,Srinivasa Complex, Najjappa Layout,Hosur Road, Adugodi",Karnataka,Bengaluru Urban,12.9418628,77.6081249
Shiva Nursing Home,Private,Multispecialty / General,,0.0,0.0,"#20 (Old#310),7Th Main,16Th Cross,Lakkasandra Extension",Karnataka,Bengaluru Urban,12.9426465,77.599995
Sree Venkateshwara Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"1, 1St Cross, Gupta Layout,Lakksandra, Near Dairy Circle",Karnataka,Bengaluru Urban,12.9430799,77.6013678
The Apollo Clinic and Surgical Centre,Private,Multispecialty / General,,0.0,0.0,"60/3, Konapana Agrahara, Opposite Infosys Convention Centre , Hosur",Karnataka,Bengaluru Urban,12.7409127,77.8252923
Amazon Hospital,Private,Multispecialty / General,,0.0,0.0,"18/10, Ganganagar , 1St Main 7Th Cross",Karnataka,Bengaluru Urban,13.0252889,77.5859294
Asha Kiran Children Health Care Centre,Private,Women & Child,,0.0,0.0,# 9 80 Fet Road H M T Layout R T Nagar,Karnataka,Bengaluru Urban,13.0263835,77.5931572
Chaitanya Hospital,Private,Multispecialty / General,,0.0,0.0,"No 80, P&T Colony R T Nagar",Karnataka,Bengaluru Urban,13.0225809,77.5931039
Dr Chaitanyas Hospital,Private,Multispecialty / General,,0.0,0.0,"Ist Floor, Lic Colony Main Road, Jeevan Bhima Nagar",Karnataka,Bengaluru Urban,12.9683434,77.6508082
Dr.T.V.Ramesh Piles Hospital,Private,Multispecialty / General,,0.0,0.0,"1St Main Road, 7Th Cross, Ganganagar",Karnataka,Bengaluru Urban,13.025502,77.5576219
Ganga Hospital and Clinical Laboratory,Private,Multispecialty / General,,0.0,0.0,"249, 5Th Cross, 3Rd Main. Ganganagar",Karnataka,Bengaluru Urban,12.9589564,77.568118
Geeta Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No. 71, Hmt Layout, Dinnur Main Road, R.T. Nagar",Karnataka,Bengaluru Urban,13.0248077,77.593845
Lakshmi Hospital,Private,Multispecialty / General,,0.0,0.0,"402, 2Nd Cross Judges Colony Ganganagar",Karnataka,Bengaluru Urban,13.0345251,77.5745848
Medicare Hospital,Private,Multispecialty / General,,0.0,0.0,"#66, 1St `A` Main, Bhuvaneshwarinagar, R.T.Nagar Post",Karnataka,Bengaluru Urban,12.9670443,80.2091237
North Side Health Centre,Private,Multispecialty / General,,0.0,0.0,"Cbi Road, (10Th Cross) Between 2 Nd & 3Nd Main Ganganagar",Karnataka,Bengaluru Urban,29.9038399,73.8771901
Petal Hospital,Private,Multispecialty / General,,0.0,0.0,"# 34, I St Main,C.B.I.Road,Ganganagar",Karnataka,Bengaluru Urban,12.9530908,77.6535137
Premier Hospital,Private,Multispecialty / General,,0.0,0.0,"No.2, Ex-Servicemen Colony, 5Th Cross, Dinnur Main Road, R.T.Nagar",Karnataka,Bengaluru Urban,13.0241721,77.5960331
Sarojini Hospital,Private,Multispecialty / General,,0.0,0.0,"34, 1St Main, Cbi Road, Ganganagar",Karnataka,Bengaluru Urban,13.029083,77.5904031
Sm Hospital,Private,Multispecialty / General,,0.0,0.0,"No 9 3Rd Cross, Manorayanapalyu Sultanpalya Main Rd, R T Nagar",Karnataka,Bengaluru Urban,13.0297169,77.6047757
V-Care Hoapitals and Diagnostic Center,Private,Multispecialty / General,,0.0,0.0,"No. 29 1St Main Road, A 1St Block Devegowda Road ,Rt Nagar",Karnataka,Bengaluru Urban,13.0166308,77.5967556
Kamath Nursing Home,Trust / Charitable,Multispecialty / General,,0.0,0.0,"# 1, Venkatram Layout Banaswadi Main Road Maruthi Sevanagar",Karnataka,Bengaluru Urban,13.0017513,77.6312199
Piles Clinic and Hospital,Private,Multispecialty / General,,0.0,0.0,"517,Ramaswamy Palya Bus Stop",Karnataka,Bengaluru Urban,13.0156412,77.6512586
Pratham Ent and Child Care Centre,Private,Women & Child,,0.0,0.0,"# 924, 80 Feet Road, Kalyan Nagar, Next To Adigas Hotel",Karnataka,Bengaluru Urban,26.881779,75.7797559
Annayya Healthcare Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"No.14, 14Th Main,Hsr 5Th Sector,Koramangala",Karnataka,Bengaluru Urban,12.9182699,77.6380713
Beams Hospitals Private Limited,Private,Multispecialty / General,,0.0,0.0,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala",Karnataka,Bengaluru Urban,12.9683482,77.6487167
Curie Centre Of Oncology,Private,Oncology,,0.0,0.0,"St. Johns Medical College Hospital, Campus, Gate No. 2,P.O.Koramangala",Karnataka,Bengaluru Urban,12.9279232,77.6271078
Gold Star Hospital and Research Center,Private,Multispecialty / General,,0.0,0.0,"L-168 , Sector -6 , Ring Road , Hsr Layout",Karnataka,Bengaluru Urban,12.9159823,77.6294511
Green View Medical Centre,Private,Multispecialty / General,,0.0,0.0,"# 20,21, 14Th Main Hsr Layout, Sector V ( Opposite Agaram Lake )",Karnataka,Bengaluru Urban,12.9200633,77.6428859
Health Care Global Enterprises Ltd,Private,Multispecialty / General,,0.0,0.0,"No-88, 17Th Main A Main, 2Nd Cros, 5Th Block Kormangala",Karnataka,Bengaluru Urban,12.9342661,77.6204698
Hgc Curie Centre Of Oncology,Private,Oncology,,0.0,0.0,"Gate No. 2, St. Johns Medical College Hospital,Campus P. O. Koramangala Koramangala",Karnataka,Bengaluru Urban,12.9273529,77.6391039
Kamala Nethralaya,Private,Eye / Ophthalmology,,0.0,0.0,"81, 7Th Cross 4Th Block, Near Bda Complex Koramangala",Karnataka,Bengaluru Urban,12.9248121,77.6337109
Lake View Hospital,Private,Multispecialty / General,,0.0,0.0,"#187/269/186,Ring Road, Agara,Hsr Layout",Karnataka,Bengaluru Urban,12.922031,77.645399
Marvel Hospital and Fertility Center,Private,Women & Child,,0.0,0.0,"No. 8, 1St Main Road 1St Block, Koramangala",Karnataka,Bengaluru Urban,12.9266059,77.6377755
Murthy Health and Research Centre,Private,Multispecialty / General,,0.0,0.0,97 Sarjapur Road 1St Block Koramangala,Karnataka,Bengaluru Urban,12.924756,77.6382941
Novamed Centers India Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"Opus, 143, 1St Cross, 5Th Block, Koramangala",Karnataka,Bengaluru Urban,12.9337039,77.6214323
Sharadha Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.3&4, 7Nth Main 1St Block OppositeB.T.S Kalyana Mantapa Koramangala",Karnataka,Bengaluru Urban,12.9279232,77.6271078
Spatica Super Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"No.168,Sector 6, Ring Road,Hsr Layout",Karnataka,Bengaluru Urban,12.9159823,77.6294511
St John's Medical College Hospital,Private,Multispecialty / General,,0.0,0.0,Johnnagar Sarjapur Road Koramangala,Karnataka,Bengaluru Urban,12.9309785,77.6199608
Starr Hospital,Private,Multispecialty / General,,0.0,0.0,#: L 168 Hsr Layout Sector 6,Karnataka,Bengaluru Urban,12.9137705,77.6292697
Dr. Mohan Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Kaikondrahalli Bus Stop, Sarjapur Road, Banglore",Karnataka,Bengaluru Urban,12.9139452,77.6779284
Punarjani Ayurvedic Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"14/2,Chikkanayakanahalli Village, Off Sarjapur Road",Karnataka,Bengaluru Urban,12.8984402,77.6903954
Suresh Hospital,Private,Multispecialty / General,,0.0,0.0,"37/, 1St Cross, Devasandra Main Road, K.R.Puram",Karnataka,Bengaluru Urban,13.0076532,77.6980626
Deepa Hospital,Private,Multispecialty / General,,0.0,0.0,"No.27, O.M. Road, K.R. Puram",Karnataka,Bengaluru Urban,17.4399866,78.4070375
Maithri Nursing Homeand Diagnostic,Private,Multispecialty / General,,0.0,0.0,"Devasandram Main Road Enterance, Krishnarajapuram",Karnataka,Bengaluru Urban,13.0050221,77.7036163
Patil Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 42-B1, Below Synicate Bank, Sri Thimmappa Complex, Old Madras Road, Krishnarajapuram",Karnataka,Bengaluru Urban,13.0040167,77.6877765
Aayug's Health Care,Private,Multispecialty / General,,0.0,0.0,"#477, I Main 'B' Block, Aecs Layout,,Kundalahalli",Karnataka,Bengaluru Urban,12.9600915,77.7129903
Akshay Mallya Hospital,Private,Multispecialty / General,,0.0,0.0,"Main Road, Marathahali, Banglore",Karnataka,Bengaluru Urban,12.9600915,77.7129903
Genesis Hospital,Private,Multispecialty / General,,0.0,0.0,"Airport Road, Marath Halli,Opposite Pavan Sagar Hotel",Karnataka,Bengaluru Urban,43.9932901,-107.9492606
I-Aim Healthcare Centre,Private,Multispecialty / General,,0.0,0.0,"#74/2, Jarakabanda Kaval, Attur Post, Via Yelahanka",Karnataka,Bengaluru Urban,13.1004849,77.5940134
Lions Airport City Hospital,Private,Multispecialty / General,,0.0,0.0,"#103, Munnekolal, Verthur Road, Marthahalli Post",Karnataka,Bengaluru Urban,12.9566252,77.7073206
M.G.A.Hospital,Private,Multispecialty / General,,0.0,0.0,"96,Varthur Main Road, Marathahalli",Karnataka,Bengaluru Urban,12.9562059,77.6943243
Nirmala Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Kishan Arcade, Ferns City Road, Doddanekkundi, Outer Ring Road",Karnataka,Bengaluru Urban,12.9789998,77.6953347
Sankara Eye Care Hospital,Private,Eye / Ophthalmology,,0.0,0.0,Airport - Whitefield Road Kundalahalli,Karnataka,Bengaluru Urban,12.9583404,77.7155779
Sbf Health,Private,Multispecialty / General,,0.0,0.0,"39/4,Doddene Kunde,Marathalli",Karnataka,Bengaluru Urban,12.9712265,77.6979487
Shankar Eye Hospital,Private,Eye / Ophthalmology,,0.0,0.0,Airport - Whitefield Road Kundalahalli Gate,Karnataka,Bengaluru Urban,12.9583404,77.7155779
Sri Kanchi Kamakoti Medical Trust Sankara Eye Hosp,Trust / Charitable,Eye / Ophthalmology,,0.0,0.0,"Hal Airport- Varthur Road, Kundalahalli Gate",Karnataka,Bengaluru Urban,12.9559093,77.7156859
"The Apollo Clinic (Only For Sahara), Bangalore",Private,Multispecialty / General,,0.0,0.0,"74/1, Bellandur, Ring Road, Varthur",Karnataka,Bengaluru Urban,12.956496,77.6960739
Vasan Eye Care Hospital,Private,Eye / Ophthalmology,,0.0,0.0,"No 25/5-D, Outer Ring Road Marathalli",Karnataka,Bengaluru Urban,12.9786942,77.6945322
Vims Heart Centre And Hospitals,Private,Cardiac,,0.0,0.0,"No.88, Marathahalli, , Outer Ring Road",Karnataka,Bengaluru Urban,12.948263,77.699518
Yashomati Hospitals Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"2371/3, Hal Airportvarthur Road Munnekolala, Marathalli Post",Karnataka,Bengaluru Urban,12.9600447,77.7083461
Apoorva Diagnostic Centre,Private,Multispecialty / General,,0.0,0.0,325 1St Floor C M H Road Indirangar,Karnataka,Bengaluru Urban,18.4713653,73.8661598
Axon Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"#321,6Th Main, Hal 2Nd Stage Indiranagar",Karnataka,Bengaluru Urban,12.9738195,77.6461409
Cambridge Hospital,Private,Multispecialty / General,,0.0,0.0,"18/17,Cambridge Road,Ulsoor",Karnataka,Bengaluru Urban,12.971684,77.6274826
Columbia Asian Medical Center-Hebbal,Private,Multispecialty / General,,0.0,0.0,"Salarpuria Palladium, 3Rd Floor, No. 2021 100 Feet Road, Hal 2Nd Stage, Indira Nagar",Karnataka,Bengaluru Urban,12.9644774,77.6416471
Laser Vision Netralaya,Private,Multispecialty / General,,0.0,0.0,"No. 157, Defence Colony, 4Th Main Indiranagar",Karnataka,Bengaluru Urban,12.9737668,77.6382716
Maruthi Hospital,Private,Multispecialty / General,,0.0,0.0,"No 957 12Th Main Hal Ii Stage , Indiranagar",Karnataka,Bengaluru Urban,12.9703034,77.6402636
Narayana Hrudayalaya Cmh Hospital,Trust / Charitable,Multispecialty / General,,0.0,0.0,"Mission Road, Indiranagar, 2Nd Stage, Banglore",Karnataka,Bengaluru Urban,12.9782859,77.6387567
Navashakthi Nethralaya,Private,Eye / Ophthalmology,,0.0,0.0,"1332, Double Road, Indiranagar",Karnataka,Bengaluru Urban,12.9750457,77.6362898
Nethradhama Super Speciality Eye Hospital-Indiranagar,Private,Eye / Ophthalmology,,0.0,0.0,"No-66, Double Road, Hal 2Nd Stage Indira Nagar",Karnataka,Bengaluru Urban,12.97344,77.635628
Rashmi Nursing Home,Private,Multispecialty / General,,0.0,0.0,"166, 9Th Cross 1St Stage Indira Nagar",Karnataka,Bengaluru Urban,12.9808112,77.6389895
Sapthagiri Digitial Imaging Center Pvt Ltd,Trust / Charitable,Multispecialty / General,,0.0,0.0,"Chinmaya Mission Hospital Complex, C.M.H Road, Indiranagar",Karnataka,Bengaluru Urban,12.9780176,77.6372673
Siddhi Eye Care,Private,Eye / Ophthalmology,,0.0,0.0,"220,7Thcross, 1St Stage Indiranagar",Karnataka,Bengaluru Urban,12.9805678,77.6397077
Sri Vinayaka Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No.3033 7, 8Th Main, Hal2Nd Stage",Karnataka,Bengaluru Urban,12.9724611,77.652951
Mysore Road Hi Tech Hospital,Private,Multispecialty / General,,0.0,0.0,"17, Pantharapalya, Near Nayandahalli Bus Stop Opp Ganesha Temple, Mysore Road Pantharapalya",Karnataka,Bengaluru Urban,12.9420288,77.525297
Shekhar Hospital,Private,Multispecialty / General,,0.0,0.0,"#942, 28Th Main, 9Th Block,Jayanagar",Karnataka,Bengaluru Urban,12.9174394,77.5949199
A.M. Hospital,Private,Multispecialty / General,,0.0,0.0,"No.20/1, 2Nd Cross, Widia Layout, Chandra Layout Main Road,Vijayanagar",Karnataka,Bengaluru Urban,12.9601053,77.5311229
Bhagavathi Multi Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"L 168, Sector - 6, Ring Road, Hsr Layout",Karnataka,Bengaluru Urban,12.9159823,77.6294511
Gayathari Hospital Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"91, Magadi Chord Road, Vijaynagar",Karnataka,Bengaluru Urban,12.974333,77.542641
Hosahalli Referal Hospital,Private,Multispecialty / General,,0.0,0.0,"5Th Main,7Th Cross, Mc Layout, Vijaynagar,  South",Karnataka,Bengaluru Urban,12.9385484,77.5667188
Kids Care Clinic,Private,Multispecialty / General,,0.0,0.0,"23, Ist Floor, Iii Main Road, Chandra Layout, Vijayanagar",Karnataka,Bengaluru Urban,12.973229,77.5414193
Manasa Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 107, 6Th Main,2Nd Cross,Vijayanagar",Karnataka,Bengaluru Urban,12.9639945,77.5224481
Moodalapallya Meternity Home,Private,Multispecialty / General,,0.0,0.0,"Bhuvaneshwarinagar, Main Rd,  South",Karnataka,Bengaluru Urban,13.0576513,77.5967615
Padmashree Nursing Home and Maternity Home,Private,Women & Child,,0.0,0.0,"1108/30 10Th Main 4Th Cross, Rpc Layout, Vijayanagar",Karnataka,Bengaluru Urban,12.9416561,77.5830294
Sharavathi Hospitals (P) Ltd.,Private,Multispecialty / General,,0.0,0.0,"No.1133/F,30 Ft.Service Road, R.P.C. Layout,Vijaynagar",Karnataka,Bengaluru Urban,12.9587229,77.533835
